       JADWAL SALAT Jakarta
 
 
            	JANUARI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:20    5:45   12: 0   15:25   18:14   19:28    
 2   4:20    5:45   12: 1   15:26   18:15   19:28    
 3   4:21    5:46   12: 1   15:26   18:15   19:29    
 4   4:22    5:46   12: 2   15:27   18:15   19:29    
 5   4:22    5:47   12: 2   15:27   18:16   19:29    
 6   4:23    5:47   12: 3   15:27   18:16   19:30    
 7   4:23    5:48   12: 3   15:28   18:16   19:30    
 8   4:24    5:48   12: 4   15:28   18:17   19:30    
 9   4:25    5:49   12: 4   15:28   18:17   19:31    
10   4:25    5:49   12: 4   15:28   18:18   19:31    
11   4:26    5:50   12: 5   15:29   18:18   19:31    
12   4:26    5:50   12: 5   15:29   18:18   19:31    
13   4:27    5:51   12: 6   15:29   18:18   19:31    
14   4:27    5:51   12: 6   15:29   18:19   19:32    
15   4:28    5:52   12: 6   15:29   18:19   19:32    
16   4:29    5:52   12: 7   15:30   18:19   19:32    
17   4:29    5:53   12: 7   15:30   18:20   19:32    
18   4:30    5:53   12: 7   15:30   18:20   19:32    
19   4:30    5:53   12: 8   15:30   18:20   19:32    
20   4:31    5:54   12: 8   15:30   18:20   19:32    
21   4:31    5:54   12: 8   15:30   18:20   19:33    
22   4:32    5:55   12: 9   15:30   18:21   19:33    
23   4:32    5:55   12: 9   15:30   18:21   19:33    
24   4:33    5:55   12: 9   15:30   18:21   19:33    
25   4:33    5:56   12: 9   15:30   18:21   19:33    
26   4:34    5:56   12:10   15:30   18:21   19:33    
27   4:34    5:56   12:10   15:30   18:21   19:33    
28   4:35    5:57   12:10   15:30   18:21   19:33    
29   4:35    5:57   12:10   15:30   18:21   19:32    
30   4:36    5:57   12:10   15:29   18:21   19:32    
31   4:36    5:58   12:11   15:29   18:21   19:32    
 
 
            	FEBRUARI
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:36    5:58   12:11   15:29   18:21   19:32    
 2   4:37    5:58   12:11   15:29   18:21   19:32    
 3   4:37    5:58   12:11   15:29   18:21   19:32    
 4   4:38    5:59   12:11   15:28   18:21   19:32    
 5   4:38    5:59   12:11   15:28   18:21   19:32    
 6   4:38    5:59   12:11   15:28   18:21   19:31    
 7   4:39    5:59   12:11   15:27   18:21   19:31    
 8   4:39    6: 0   12:11   15:27   18:21   19:31    
 9   4:39    6: 0   12:11   15:26   18:21   19:31    
10   4:40    6: 0   12:11   15:26   18:21   19:30    
11   4:40    6: 0   12:11   15:25   18:21   19:30    
12   4:40    6: 0   12:11   15:25   18:20   19:30    
13   4:41    6: 0   12:11   15:24   18:20   19:30    
14   4:41    6: 0   12:11   15:24   18:20   19:29    
15   4:41    6: 1   12:11   15:23   18:20   19:29    
16   4:41    6: 1   12:11   15:23   18:20   19:29    
17   4:41    6: 1   12:11   15:22   18:20   19:28    
18   4:42    6: 1   12:11   15:21   18:19   19:28    
19   4:42    6: 1   12:11   15:21   18:19   19:28    
20   4:42    6: 1   12:11   15:20   18:19   19:27    
21   4:42    6: 1   12:11   15:19   18:19   19:27    
22   4:42    6: 1   12:11   15:19   18:18   19:27    
23   4:42    6: 1   12:11   15:18   18:18   19:26    
24   4:43    6: 1   12:10   15:17   18:18   19:26    
25   4:43    6: 1   12:10   15:16   18:17   19:25    
26   4:43    6: 1   12:10   15:15   18:17   19:25    
27   4:43    6: 1   12:10   15:14   18:17   19:25    
28   4:43    6: 1   12:10   15:13   18:16   19:24    
 
 
            	MARET
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:43    6: 1   12:10   15:13   18:16   19:24    
 2   4:43    6: 1   12: 9   15:12   18:16   19:23    
 3   4:43    6: 1   12: 9   15:11   18:15   19:23    
 4   4:43    6: 1   12: 9   15:10   18:15   19:23    
 5   4:43    6: 1   12: 9   15: 9   18:15   19:22    
 6   4:43    6: 1   12: 9   15: 7   18:14   19:22    
 7   4:43    6: 1   12: 8   15: 8   18:14   19:21    
 8   4:43    6: 1   12: 8   15: 8   18:13   19:21    
 9   4:43    6: 1   12: 8   15: 9   18:13   19:20    
10   4:43    6: 0   12: 8   15: 9   18:13   19:20    
11   4:43    6: 0   12: 7   15:10   18:12   19:19    
12   4:43    6: 0   12: 7   15:10   18:12   19:19    
13   4:43    6: 0   12: 7   15:10   18:11   19:18    
14   4:43    6: 0   12: 6   15:11   18:11   19:18    
15   4:43    6: 0   12: 6   15:11   18:10   19:17    
16   4:43    6: 0   12: 6   15:11   18:10   19:17    
17   4:43    6: 0   12: 6   15:12   18: 9   19:17    
18   4:42    6: 0   12: 5   15:12   18: 9   19:16    
19   4:42    5:59   12: 5   15:12   18: 9   19:16    
20   4:42    5:59   12: 5   15:12   18: 8   19:15    
21   4:42    5:59   12: 4   15:12   18: 8   19:15    
22   4:42    5:59   12: 4   15:13   18: 7   19:14    
23   4:42    5:59   12: 4   15:13   18: 7   19:14    
24   4:42    5:59   12: 4   15:13   18: 6   19:13    
25   4:42    5:59   12: 3   15:13   18: 6   19:13    
26   4:41    5:58   12: 3   15:13   18: 5   19:12    
27   4:41    5:58   12: 3   15:13   18: 5   19:12    
28   4:41    5:58   12: 2   15:14   18: 4   19:11    
29   4:41    5:58   12: 2   15:14   18: 4   19:11    
30   4:41    5:58   12: 2   15:14   18: 3   19:11    
31   4:41    5:58   12: 1   15:14   18: 3   19:10    
 
 
            	APRIL
 
TGL SHUBUH  TERBIT  DHUHUR  ASHAR  MAGHRIB  ISYA
 1   4:40    5:58   12: 1   15:14   18: 3   19:10    
 2   4:40    5:57   12: 1   15:14   18: 2   19: 9    
